ui.menu|Μενού
055|Κουμπί έκτακτης ανάγκης στην εφαρμογή
056|Το μεγάλο κουμπί SOS στην κύρια οθόνη. Είναι ο πιο απλός τρόπος και απαιτεί η εφαρμογή να είναι σε πρώτο πλάνο.
057|Android · εφαρμογή κλειστή
058|Γρήγορο κουμπί στην αρχική οθόνη
059|Ένα κουμπί στην αρχική οθόνη του τηλεφώνου ξυπνά την εφαρμογή ακόμη κι όταν είναι κλειστή και ανενεργή, και ξεκινά αμέσως την έκτακτη ανάγκη.
060|Android · διακριτικό
061|Μόνιμη ειδοποίηση
062|Ένα άγγιγμα στην ειδοποίηση που είναι πάντα εκεί. Όποιος σας κοιτάζει νομίζει ότι απλώς ξεφυλλίζετε τις ειδοποιήσεις: στην πραγματικότητα ζητάτε βοήθεια.
064|Έξυπνο ρολόι
065|Φωνή ή κουμπί στην πρόσοψη ενός ρολογιού Wear OS ή ένα άγγιγμα στο Apple Watch. Οι εφαρμογές για smartphone έχουν τη δική τους συνοδευτική εφαρμογή για το ρολόι· το AIuto SOS λειτουργεί ακόμη και χωρίς smartphone.
066|Κουμπί button4help™
067|Κρατήστε πατημένο για μερικά δευτερόλεπτα το μικρό κουμπί που έχετε μαζί σας: η εφαρμογή στο smartphone, σε απόσταση αρκετών μέτρων, ξεκινά την έκτακτη ανάγκη. <a class="link-arrow" href="button4help.html">Μάθετε περισσότερα →</a>
068|Τι συμβαίνει
069|Όλα ξεκινούν μόνα τους, προς δύο πρόσωπα εμπιστοσύνης.
070|Στην εφαρμογή ορίζετε δύο επαφές έκτακτης ανάγκης, συγγενείς ή φίλους. Μόλις ενεργοποιηθεί ο συναγερμός, λαμβάνουν το αίτημα βοήθειας και την τοποθεσία σας.
072|SMS με τοποθεσία
073|Συντεταγμένες GPS, διεύθυνση και σύνδεσμος χάρτη. Ταξιδεύει μέσω του τηλεφωνικού δικτύου, χωρίς να χρειάζεται internet.
075|WhatsApp με τοποθεσία
076|Στο iPhone το μήνυμα με την τοποθεσία φτάνει και στο WhatsApp.
077|ζωντανά έως 24 ώρες
078|Telegram με ζωντανή τοποθεσία
079|Η τοποθεσία ενημερώνεται σε πραγματικό χρόνο, ώστε οι επαφές σας να μπορούν να σας ακολουθούν. Η διάρκεια εξαρτάται από την εφαρμογή και την έκδοση.
080|Τηλεφωνική κλήση
081|Η εφαρμογή καλεί τις επαφές έκτακτης ανάγκης χωρίς να χρειάζεται να πληκτρολογήσετε τίποτα.
082|Εσείς
083|φωνή, άγγιγμα ή κουμπί
084|Εφαρμογή no pAIn™
085|τοποθεσία + μηνύματα
086|2 επαφές εμπιστοσύνης
087|SMS · WhatsApp · Telegram · κλήση
088|Ουσιαστική βοήθεια
089|καλούν την αστυνομία ή έρχονται σε εσάς
090|<b>Σημαντικό</b> Οι εφαρμογές ειδοποιούν τις επαφές που έχετε επιλέξει: δεν καλούν απευθείας το 112 και δεν το αντικαθιστούν. Συμφωνήστε από πριν με τις επαφές σας τι θα κάνουν όταν λάβουν συναγερμό και κάντε μαζί μια δοκιμή.
091|Διαφημιστικό υλικό του έργου. Τα κοσμήματα στις εικόνες είναι σχεδιαστικές ιδέες.
092|Το οικοσύστημα
093|Η συσκευή σας. Η εφαρμογή no pAIn™ για εσάς.
094|Smartphone Android, iPhone, έξυπνα ρολόγια και ένα κουμπί για την τσέπη. Γλώσσες, συνδέσεις και λειτουργίες διαφέρουν από εφαρμογή σε εφαρμογή: επιλέξτε τη λύση που σας ταιριάζει.
095|ANDROID · 12 ΓΛΩΣΣΕΣ
097|Η πολύγλωσση έκδοση για Android, συμβατή με το button4help™.
098|Μάθετε περισσότερα →
099|ANDROID · ΙΤΑΛΙΚΑ
100|Proteggimi (no pAIn™)
101|Η εφαρμογή no pAIn™ για Android στα ιταλικά.
102|IPHONE · 12 ΓΛΩΣΣΕΣ
103|no pAIn™ (Proteggimi)
104|Η έκδοση για iPhone και Apple Watch.
105|WEAR OS · ΜΟΝΟ ΓΙΑ ΡΟΛΟΙ
107|Λειτουργεί μόνο στο ρολόι, χωρίς smartphone.
108|ΣΥΣΚΕΥΗ BLUETOOTH
109|Το κουμπί που σημαίνει συναγερμό από απόσταση. Αγοράζεται από εξωτερικό μεταπωλητή.
110|Συγκρίνετε τις εκδόσεις Free και Premium →
111|Πώς να ξεκινήσετε
112|Επιλέξτε πώς θα το ενεργοποιείτε. Αποφασίστε ποιον θα ειδοποιείτε.
113|Προετοιμάστε το δίκτυό σας
114|Επιλέξτε την εφαρμογή για τη συσκευή σας, ρυθμίστε τις επαφές και ενεργοποιήστε τις ενέργειες που θέλετε. Αν χρησιμοποιείτε το κουμπί, ολοκληρώστε τη σύζευξη.
115|Πριν από τη χρήση
116|Στείλτε το αίτημα
117|Χρησιμοποιήστε τον τρόπο που προβλέπει η εφαρμογή σας: φωνητική εντολή, άγγιγμα στην οθόνη, συμβατό ρολόι ή συζευγμένο φυσικό κουμπί.
118|Όταν χρειαστεί
119|Ειδοποιήστε όσους επιλέξατε
120|Ξεκινούν οι ενεργοποιημένες ενέργειες: μηνύματα με τοποθεσία, ζωντανή κοινοποίηση μέσω Telegram και κλήσεις στις ρυθμισμένες επαφές.
121|Προς τις επαφές σας
122|Όλες οι λεπτομέρειες για το πώς λειτουργεί →
123|Τεχνολογία και έρευνα
124|Γεννήθηκε στο πανεπιστήμιο, δημοσιεύτηκε σε επιστημονικό περιοδικό.
125|Το no pAIn™ σημαίνει <em>never oppressed protected by Artificial Intelligence Non violence system</em>. Το έργο περιγράφεται σε δύο άρθρα του περιοδικού <em>Electronics</em> (2024 και 2026) και σε μια πλήρη παρουσίαση 23 σελίδων.
126|Τεχνολογία και δημοσιεύσεις →
127|Ας συνεργαστούμε
128|Φέρτε το no pAIn™ στον οργανισμό σας.
129|Δημόσιοι φορείς, σύλλογοι, εταιρείες και χορηγοί: το να γίνει γνωστό το εργαλείο και να ενταχθεί σε ένα δίκτυο υποστήριξης είναι εξίσου σημαντικό με το να διατεθεί.
130|Προτάσεις για φορείς και εταιρείες →
131|Τιμές, διαθεσιμότητα και συνεργασίες
132|Ας βρούμε τη λύση που σας ταιριάζει.
133|Καθ. Μηχ. Agostino Giorgio
134|Τμήμα Ηλεκτρολόγων Μηχανικών και Μηχανικών Πληροφορικής
136|Τηλ. γραφείου: 080 596 3239/579
137|Πληροφορίες για ιδιώτες
138|Εφαρμογές, button4help™ και συμβατότητα με το τηλέφωνό σας
139|Προτάσεις για φορείς και εταιρείες
140|Επιδείξεις και συνεργασίες
141|Θα ανοίξει η εφαρμογή email σας. Μπορείτε επίσης να γράψετε απευθείας στο <a href="mailto:agostino.giorgio@poliba.it">agostino.giorgio@poliba.it</a>
142|Έργο του Καθ. Μηχ. Agostino Giorgio<br>Διδάσκων στο Politecnico di Bari
143|Ο ιστότοπος
144|Πηγές
145|Εγχειρίδια και απόρρητο των εφαρμογών ↗
146|Παρουσίαση του έργου (PDF, στα ιταλικά) ↗
148|Σε άμεσο κίνδυνο καλέστε το 112. Οι εφαρμογές no pAIn™ ειδοποιούν τις επαφές έκτακτης ανάγκης που επιλέξατε και δεν αντικαθιστούν τις δημόσιες υπηρεσίες έκτακτης ανάγκης.
149|Ενημερωθείτε. Ρυθμίστε. Δοκιμάστε.
150|Κύρια πλοήγηση
151|Παράδειγμα μηνύματος έκτακτης ανάγκης που λαμβάνει μια επαφή, με χάρτη και ζωντανή τοποθεσία
152|Η διαδρομή του αιτήματος βοήθειας
153|Αφίσα του έργου no pAIn: digital4help, ψηφιακή προστασία. Αναφέρει το Proteggimi για Android στα ιταλικά, το AI help You για Android σε 12 γλώσσες, το AIuto SOS watch4help για ρολόγια Wear OS και το no pAIn για iOS.
154|no pAIn™ — Εφαρμογές
155|Οι εφαρμογές του έργου no pAIn™: AI help You, Proteggimi, no pAIn™ για iPhone, AIuto SOS watch4help™ για Wear OS, AI help App.
156|Επιλέξτε την εφαρμογή σας
157|Επιλέξτε πώς <span class="hl">θα ακουστείτε.</span>
158|Το no pAIn™ φέρνει στο smartphone ένα ηλεκτρονικό «signal for help», που ενεργοποιείται με τη φωνή ή με ένα άγγιγμα. Το watch4help™ είναι η ίδια τεχνολογία για έξυπνα ρολόγια. Γλώσσες, συνδέσεις και λειτουργίες διαφέρουν από εφαρμογή σε εφαρμογή.
163|AI help App · AIutoSOS Apple Watch
165|Διαφημιστικό υλικό του έργου · ενδεικτική ιδέα
167|12 γλώσσες
170|Η έκδοση Android σε 12 γλώσσες, με προσαρμόσιμες λέξεις-κλειδιά, αναγνώριση φωνής εκτός σύνδεσης και συνοδευτική εφαρμογή για ρολόγια Wear OS. Προσφέρει όλους τους τρόπους ενεργοποίησης της τεχνολογίας no pAIn™, μαζί με το κουμπί button4help™.
171|Ζωντανή τοποθεσία στο Telegram
172|Από 1 λεπτό έως 24 ώρες, ρυθμιζόμενη
173|Λήψη από το Google Play <span class="arr">↗</span>
174|Φωνητικές εντολές: 4 σταθερές και 3 προσωπικές λέξεις-κλειδιά, ακόμη και με σβηστή οθόνη και το τηλέφωνο λίγα μέτρα μακριά
175|Ενεργοποίηση με τον Βοηθό Google
176|Κουμπί έκτακτης ανάγκης στην κύρια οθόνη
177|Γρήγορο κουμπί στην αρχική οθόνη που ξυπνά την κλειστή εφαρμογή
178|Φωνή ή κουμπί από τη συνοδευτική εφαρμογή για ρολόγια Wear OS
179|Πάτημα μερικών δευτερολέπτων στο button4help™
180|Τι στέλνει
181|SMS με συντεταγμένες GPS, διεύθυνση και σύνδεσμο χάρτη
182|Αυτόματη κλήση στις επαφές
183|Το WhatsApp δεν προβλέπεται στο Android
184|Το AI help You ειδοποιεί τις ρυθμισμένες επαφές. Δεν επικοινωνεί με τις δημόσιες υπηρεσίες έκτακτης ανάγκης και δεν τις αντικαθιστά. Χωρίς συνδρομή λειτουργεί σε λειτουργία γρήγορης έκτακτης ανάγκης: <a class="link-arrow" href="versioni.html">δείτε Free και Premium</a>.
185|Ιταλικά
186|Proteggimi <span class="hl">(no pAIn™)</span>
187|Η έκδοση Android στα ιταλικά, με ενεργοποίηση μέσω φωνής ή χειροκίνητα. Ακούει τις λέξεις-κλειδιά σας ακόμη και με κλειστή εφαρμογή και σβηστή οθόνη, και έχει συνοδευτική εφαρμογή για ρολόγια Wear OS.
188|Έως 30 λεπτά
189|Φωνητικές εντολές με προσαρμοσμένες λέξεις-κλειδιά, αναγνώριση φωνής εκτός σύνδεσης
190|SMS με γεωεντοπισμό
191|Telegram με τοποθεσία, και ζωντανά
194|no pAIn™ <span class="hl">(Proteggimi)</span>
195|Η έκδοση για iPhone, με τις ίδιες βασικές λειτουργίες με το AI help You: 12 γλώσσες, συνοδευτική εφαρμογή για Apple Watch και συμβατότητα με το button4help™. Επιπλέον, στέλνει τον συναγερμό και στο WhatsApp.
196|Free: 30 λεπτά · Premium: από 1 λεπτό έως 24 ώρες
197|Λήψη από το App Store <span class="arr">↗</span>
198|Η συνοδευτική εφαρμογή στο Apple Watch: ένα άγγιγμα στο EMERGENZA
199|Κουμπί SOS στην κύρια οθόνη
200|Φωνητική εντολή «Hey Siri, Βοήθησέ με» (Premium)
201|Άγγιγμα στην πρόσοψη του Apple Watch, ακόμη και με κλειδωμένο iPhone
202|Telegram με τοποθεσία και σύνδεσμο χάρτη
203|SMS με γεωεντοπισμό (Premium)
204|WhatsApp με γεωεντοπισμό (Premium)
205|Αυτόματη κλήση στις επαφές (Premium)
206|Η λήψη είναι δωρεάν και περιλαμβάνει κουμπί SOS, Telegram με τοποθεσία, ζωντανή τοποθεσία για 30 λεπτά και την εφαρμογή για Apple Watch. Το Premium προσθέτει Siri, SMS, WhatsApp, κλήση και ζωντανή τοποθεσία από 1 λεπτό έως 24 ώρες, με εφάπαξ αγορά και χωρίς συνδρομή.
207|Τα SMS, το WhatsApp και η κλήση περνούν από τη Συντόμευση Apple «Proteggimi», που εγκαθίσταται από την εφαρμογή. Από το Apple Watch, το Telegram και η τοποθεσία στέλνονται ακόμη και με κλειδωμένο iPhone· για τις άλλες ενέργειες η εφαρμογή iPhone πρέπει να είναι σε πρώτο πλάνο.
209|Χωρίς smartphone
211|Μια εφαρμογή μόνο για ρολόγια Wear OS που δεν χρειάζεται smartphone. Είναι η τεχνολογία no pAIn™ σε φορητή εκδοχή, με το όνομα watch4help™: ο συναγερμός ξεκινά απευθείας από τον καρπό.
212|Έως 60 λεπτά
213|Φωνητική εντολή στο ρολόι
214|Κουμπί έκτακτης ανάγκης στην πρόσοψη
215|Γρήγορη πρόσβαση από την πρόσοψη και τα complications
216|Καλό να γνωρίζετε
217|Λειτουργεί αυτόνομα, ακόμη και με το smartphone μακριά ή απενεργοποιημένο
218|Τα διαθέσιμα κανάλια εξαρτώνται από τη σύνδεση του ρολογιού: LTE με SIM ή Wi-Fi/Bluetooth
219|Να μη συγχέεται με τις συνοδευτικές εφαρμογές των Proteggimi και AI help You, που λειτουργούν μαζί με το συζευγμένο τηλέφωνο.
220|Σε εικόνες και βίντεο
221|Πώς είναι και πώς λειτουργεί στον καρπό.
222|Ένα άγγιγμα στο μεγάλο κόκκινο κουμπί ή μια φωνητική εντολή: το ρολόι στέλνει την τοποθεσία και την ειδοποίηση στις επαφές σας μέσω Telegram, SMS και κλήσης, ακόμη και με το smartphone μακριά.
223|Αγγίξτε μια εικόνα για μεγέθυνση. Σύρετε στο πλάι για να δείτε τις υπόλοιπες.
224|Αφίσα
225|<strong>SOS από το ρολόι σας</strong>Φωνή ή άγγιγμα: στέλνει τοποθεσία και ειδοποίηση. Ζωντανή τοποθεσία, Telegram, SMS, κλήση.
226|Στιγμιότυπο οθόνης
227|<strong>Η εφαρμογή στο ρολόι</strong>Το κουμπί INVIO (αποστολή) και η ακρόαση φωνητικών εντολών, που ενεργοποιείται και διακόπτεται.
228|Άλλες λύσεις
229|Και αυτές είναι μέρος του έργου.
231|Άλλη μια πολύγλωσση λύση για Android: 12 γλώσσες, από τις οποίες 3 με αναγνώριση φωνής και εκτός σύνδεσης. Ενεργοποιείται με φωνητικές εντολές ή με χειροκίνητο αίτημα βοήθειας.
232|Άνοιγμα Google Play <span class="arr">↗</span>
234|Προγραμματισμένη
235|AIutoSOS για Apple Watch
236|Μια εφαρμογή ειδικά για το Apple Watch, που θα κυκλοφορήσει σύντομα. Διαφέρει από τη συνοδευτική εφαρμογή που περιλαμβάνεται ήδη στο no pAIn™ για iPhone.
237|Για να χρησιμοποιήσετε σήμερα το Apple Watch, εγκαταστήστε το <a class="link-arrow" href="#no-pain-ios">no pAIn™ για iPhone</a>.
238|Το κουμπί για την τσέπη που ενεργοποιεί τον συναγερμό του AI help You και του no pAIn™ για iPhone. Τι είναι, τι δεν είναι και πού θα το βρείτε.
239|Γνωρίστε το button4help™ →
240|Ρύθμιση
241|Ακολουθήστε το εγχειρίδιο της εφαρμογής σας.
242|Η διάρκεια της ζωντανής τοποθεσίας διαφέρει από εφαρμογή σε εφαρμογή: ελέγξτε τις επιλογές της εγκατεστημένης εφαρμογής.
243|Εγχειρίδιο Android <span class="arr">↗</span>
244|Εγχειρίδιο iOS <span class="arr">↗</span>
245|Οδηγός Telegram <span class="arr">↗</span>
246|Εφαρμογές
247|Αφίσα: Proteggimi (no pAIn), η διαφορετική και έξυπνη εφαρμογή. Άμεση βοήθεια ακόμη και χωρίς να αγγίξετε το smartphone. Λίστα εκδόσεων για Android, Wear OS και iOS.
248|Apple Watch με το μεγάλο κόκκινο κουμπί EMERGENZA και την επιβεβαίωση Inviato (εστάλη)
249|Αφίσα του AIuto SOS watch4help: μια γυναίκα τη νύχτα, στη βροχή, την ακολουθεί ένας άνδρας με κουκούλα και πατά το κουμπί HELP στο ρολόι της
250|Ρολόι Wear OS με την εφαρμογή AIuto SOS: κόκκινο κουμπί INVIO (αποστολή) και κουμπί FERMA ASCOLTO (διακοπή ακρόασης)
251|button4help™ — no pAIn™
252|button4help™, το κουμπί Bluetooth που ενεργοποιεί από απόσταση τον συναγερμό των εφαρμογών no pAIn™. Τι είναι, τι δεν είναι, πού θα το βρείτε.
253|Το φυσικό κουμπί του no pAIn™
255|Μικρό στη μεταφορά, απλό στην ενεργοποίηση. Είναι το «μαγικό κουμπί» του έργου: το έχετε στην τσέπη, στην τσάντα ή στο μπρελόκ και, όταν το κρατάτε πατημένο για μερικά δευτερόλεπτα, η εφαρμογή στο smartphone σας ξεκινά την έκτακτη ανάγκη, ακόμη και από αρκετά μέτρα μακριά.
256|Αγορά από το AliExpress <span class="arr">↗</span>
257|Πώς χρησιμοποιείται
258|Το κουμπί δεν πωλείται από το no pAIn™: αγοράζεται από εξωτερικό μεταπωλητή και συζευγνύεται με την εφαρμογή.
259|Πραγματική φωτογραφία του button4help™ δίπλα σε κέρμα των 50 λεπτών
260|Πώς είναι και πώς χρησιμοποιείται.
261|Κρατήστε το στο μπρελόκ ή στην τσέπη. Όταν χρειαστεί, πατήστε το: η εφαρμογή στο τηλέφωνο ξεκινά αυτόματα τα αιτήματα βοήθειας και τη ζωντανή τοποθεσία προς τις επαφές σας.
262|<strong>Ένα πάτημα, ο συναγερμός ξεκινά</strong>Με το AI help You: αιτήματα βοήθειας και ζωντανή τοποθεσία έως 24 ώρες. Αφίσα στα αγγλικά.
263|Πραγματική φωτογραφία
264|<strong>Το πραγματικό μέγεθος</strong>Λίγο μεγαλύτερο από ένα κέρμα των 50 λεπτών.
265|Τι είναι
266|Ένα τηλεχειριστήριο για το τηλέφωνό σας.
267|Το button4help™ είναι ένα κουμπί που ενεργοποιεί διαδικασίες στο smartphone εντός της εμβέλειας Bluetooth. Είναι μικροσκοπικό επειδή περιέχει μόνο μια μονάδα Bluetooth Low Energy και μια μπαταρία κουμπί: χωρίς GPS, χωρίς Wi-Fi. Την τοποθεσία την εντοπίζει η εφαρμογή στο τηλέφωνο.
268|Φυσική ενεργοποίηση χωρίς να πιάσετε το τηλέφωνο
269|Σύνδεση με το smartphone μέσω Bluetooth
270|Αποστολή σύμφωνα με τις ενέργειες που ορίσατε στην εφαρμογή: μηνύματα, τοποθεσία, κλήσεις
271|Ενεργοποίηση
272|Πάτημα περίπου 2 δευτερολέπτων
273|Σύνδεση
274|Μόνο Bluetooth BLE
275|Εμβέλεια
276|Αρκετά μέτρα, όση του Bluetooth
277|Τροφοδοσία
278|Μπαταρία κουμπί
279|Μέγεθος
280|Λίγο μεγαλύτερο από ένα κέρμα
281|Λειτουργεί με
282|AI help You (Android) και no pAIn™ (iPhone)
283|Τι δεν είναι
284|Δεν είναι συσκευή εντοπισμού. Δεν είναι κουμπί για ηλικιωμένους.
285|Στο εμπόριο υπάρχουν συσκευές εντοπισμού GPS ή Bluetooth που συνδέονται στο δίκτυο AirTag της Apple ή σε εκείνο του Android και χρησιμοποιούνται για την εύρεση αντικειμένων και ζώων. Το button4help™ είναι κάτι εντελώς διαφορετικό.
286|Συσκευή
287|Σε τι χρησιμεύει
288|Συσκευή εντοπισμού GPS ή BLE
289|Εύρεση αντικειμένων και ζώων
290|Εντοπίζεται μέσω του δικτύου AirTag της Apple ή εκείνου του Android
291|Κουμπί SOS για ηλικιωμένους
292|Κλήση σε κέντρο βοήθειας
293|Ειδική συσκευή, συχνά με δική της SIM ή βάση
294|Ενεργοποίηση του συναγερμού της εφαρμογής no pAIn™
295|Εντολή από απόσταση προς το smartphone: η έκτακτη ανάγκη ξεκινά με μηνύματα, τοποθεσία και κλήσεις στις επαφές σας
296|Τρία βήματα, και είναι πάντα μαζί σας.
297|Αγοράστε το
298|Αγοράστε το κουμπί από τον μεταπωλητή που αναφέρεται παρακάτω. Τιμή, αποστολή και διαθεσιμότητα εξαρτώνται από τον πωλητή.
299|Συζεύξτε το με την εφαρμογή
300|Στο AI help You ή στο no pAIn™ για iPhone, ακολουθήστε τη διαδικασία σύζευξης του εγχειριδίου. Έπειτα κάντε μια δοκιμή που θα συμφωνήσετε με τις επαφές σας.
301|Κρατήστε το πατημένο
302|Όταν χρειαστεί, πατήστε το κουμπί για μερικά δευτερόλεπτα: η εφαρμογή ξεκινά τις ενέργειες έκτακτης ανάγκης που έχετε ορίσει.
303|Το κουμπί χειρίζεται την εφαρμογή στο smartphone: το τηλέφωνο πρέπει να είναι ανοιχτό, εντός εμβέλειας Bluetooth και με ρυθμισμένη την εφαρμογή. Αν χρειάζεστε συσκευή που λειτουργεί χωρίς τηλέφωνο, δείτε το <a class="link-arrow" href="prodotti.html#aiuto-sos">AIuto SOS για Wear OS</a>.
304|Πού θα το βρείτε
305|Το button4help™ πωλείται στο AliExpress από τρίτο πωλητή. Το no pAIn™ δεν πουλά τη συσκευή και δεν διαχειρίζεται παραγγελίες, αποστολές ή επιστροφές.
306|Αμφιβολίες για τη συμβατότητα με το τηλέφωνό σας; <a class="link-arrow" href="mailto:agostino.giorgio@poliba.it" data-mail="private">Γράψτε μας πριν αγοράσετε</a>.
307|Είναι ήδη διαθέσιμη η έκδοση κόσμημα;
308|Οι φωτογραφίες αυτής της σελίδας δείχνουν την τρέχουσα συσκευή. Οι διαφημιστικές εικόνες με μενταγιόν καρδιάς ή άλλα κοσμήματα δείχνουν σχεδιαστικές δυνατότητες: διαθεσιμότητα και χαρακτηριστικά πρέπει να επιβεβαιωθούν με τον σχεδιαστή.
309|Περισσότερες συχνές ερωτήσεις →
310|Πραγματική φωτογραφία του button4help, ενός στρογγυλού μαύρου κουμπιού με κρίκο για μπρελόκ, δίπλα σε κέρμα 50 λεπτών του ευρώ για σύγκριση μεγέθους
311|Αφίσα του button4help με το AI help You: τη νύχτα, στη βροχή, μια γυναίκα που την ακολουθεί ένας άνδρας σφίγγει το κουμπί στο μπρελόκ της· στο ένθετο μια φίλη λαμβάνει SMS και την τοποθεσία στο Telegram
312|Πραγματική φωτογραφία του button4help δίπλα σε κέρμα 50 λεπτών του ευρώ
313|no pAIn™ — Free και Premium
314|Τι περιλαμβάνουν οι δωρεάν και οι Premium εκδόσεις των εφαρμογών no pAIn™ για Android και iPhone, με πλήρη σύγκριση λειτουργιών.
315|Επιλέξτε γνωρίζοντας <span class="hl">τι περιλαμβάνεται.</span>
316|Οι δωρεάν λειτουργίες έκτακτης ανάγκης διαφέρουν σε Android και iPhone. Τα γρήγορα κουμπιά του Android και το κουμπί SOS του iOS παραμένουν δωρεάν, σύμφωνα με την προβλεπόμενη ρύθμιση.
317|Γρήγορη έκτακτη ανάγκη, και δωρεάν
